Geography Name,County FIPS,County Name,Place FIPS,Total Population,Population Density (Per Sq. Mile),Area (Land),Living in Poverty,At or Above Poverty Level,Population Age 18 to 64 for Whom Poverty Status  Is Determined:,Living in Poverty.1,At or Above Poverty Level.1,Population Age 65 and Over for Whom Poverty  Status Is Determined:,Living in Poverty.2,At or Above Poverty Level.2,Rural Capacity (Headwaters Index),Social Vulnerability (CDC Index),Percent of Land in 500-Year Floodplain,Percent of Land in 100-Year Floodplain,Total Percent of Land at Some Level of Flood Risk,Application Number,Project Title,Project Description ,Applicant,Applicant Type,Project Type,Application Date,State Agency Requested for Funding,Funding Request ($),Total Project Budget ($),Funding Decision Year,Award Date,Grant Award ($),Encumbered ($),City/Town
Aberdeen town,125,Moore,3700160,7862,774.8,10.15,100,1862,4462,378,4084,1313,61,1252,74,0.48,0.43,4.22,4.65,,,,,,,,,,,,,,,
Advance CDP,59,Davie,3700440,1135,158.5,7.16,75,302,606,80,526,152,13,139,,0.18,0.08,10.22,10.3,,,,,,,,,,,,,,,
Ahoskie town,91,Hertford,3700500,4819,1095,4.4,301,639,2841,623,2218,803,160,643,67,0.86,1.37,10.22,11.59,,,,,,,,,,,,,,,
Alamance village,1,Alamance,3700640,1280,1609.8,0.8,0,373,721,4,717,186,6,180,68,0.16,1.44,4.64,6.09,,,,,,,,,,,,,,,
Albemarle city,167,Stanly,3700680,16073,920.6,17.46,1264,2376,8783,1697,7086,3107,433,2674,87,0.67,0.64,7.19,7.83,20,Little Long Creek 2 Watershed Plan,"The City of Albemarle has experienced flooding issues related to aging infrastructure and growth within the city. Golden LEAF flood mitigation grant funds will be used for a watershed study for the Little Long Creek 2 sub-basin. Components of this study include field investigation, stormwater inventory, H&H modeling, analysis of secondary systems, and the development of a watershed master plan. With the development of the master plan, the city plans to perform cost benefit analysis and priority rankings to aid staff in its implementation. Once completed, the city will be able to prioritize projects to undertake along this watershed. The city plans to fund these projects through an enterprise fund with the development of a stormwater management program and anticipates collecting fees for this program beginning in January 2023. In this project area there are households, businesses, and other public and private entities that will benefit from the completion of this project. ",City of Albemarle,Local Government,Planning,6/15/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,250000,250000,Albemarle
Alexis CDP,71,Gaston,3700880,818,414.1,1.98,0,95,335,48,287,388,20,368,,0.35,,,,,,,,,,,,,,,,,,
Alliance town,137,Pamlico,3701000,1104,529.2,2.09,20,175,451,100,351,400,87,313,56,0.91,9.79,19.27,29.06,,,,,,,,,,,,,,,
Altamahaw CDP,1,Alamance,3701140,369,271.9,1.36,0,88,241,0,241,40,0,40,,0.41,0.76,11.58,12.34,,,,,,,,,,,,,,,
Anderson Creek CDP,85,Harnett,3701340,14899,764.1,19.5,1153,3910,8803,1045,7758,980,102,878,,0.46,0.2,3.39,3.59,2,Town-wide Hydrologic + Hydraulic (H+H) Analysis,"Lillington is subject to frequent flooding which makes roads impassable and reduces access to emergency services. The town began to recognize how severe the stormwater system’s limitations are after a major rainstorm in 2020. Following the rain event, the town identified several areas of inadequate and damaged stormwater infrastructure. Golden LEAF flood mitigation grant funds will be used for engineering expenses for analysis and planning regarding ten flooding hotspots. There are households, public and private entities within the immediate project area of the identified hotspots. The entire town will benefit from this project. Major highways, including NC 210, US 401, US 421, and NC 27 will also benefit since they pass through Lillington and are frequently closed during heavy rain events.",Town of Lillington,Local Government,Planning,2/23/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,225250,225250,Lillington
Andrews town,39,Cherokee,3701380,1915,1112.6,1.72,275,198,934,223,711,421,79,342,46,0.81,5.79,14.96,20.76,,,,,,,,,,,,,,,
