geography_name,county_fips,county_name,place_fips,total_population,population_density_per_sq_mile,area_land,living_in_poverty,at_or_above_poverty_level,population_age_18_to_64_for_whom_poverty_status_is_determined,living_in_poverty_1,at_or_above_poverty_level_1,population_age_65_and_over_for_whom_poverty_status_is_determined,living_in_poverty_2,at_or_above_poverty_level_2,rural_capacity_headwaters_index,social_vulnerability_cdc_index,percent_of_land_in_500_year_floodplain,percent_of_land_in_100_year_floodplain,total_percent_of_land_at_some_level_of_flood_risk,application_number,project_title,project_description,applicant,applicant_type,project_type,application_date,state_agency_requested_for_funding,funding_request,total_project_budget,funding_decision_year,award_date,grant_award,encumbered,city_town
Albemarle city,167,Stanly,3700680,16073,920.6,17.46,1264,2376,8783,1697,7086,3107,433,2674,87,0.67,0.64,7.19,7.83,20,Little Long Creek 2 Watershed Plan,"The City of Albemarle has experienced flooding issues related to aging infrastructure and growth within the city. Golden LEAF flood mitigation grant funds will be used for a watershed study for the Little Long Creek 2 sub-basin. Components of this study include field investigation, stormwater inventory, H&H modeling, analysis of secondary systems, and the development of a watershed master plan. With the development of the master plan, the city plans to perform cost benefit analysis and priority rankings to aid staff in its implementation. Once completed, the city will be able to prioritize projects to undertake along this watershed. The city plans to fund these projects through an enterprise fund with the development of a stormwater management program and anticipates collecting fees for this program beginning in January 2023. In this project area there are households, businesses, and other public and private entities that will benefit from the completion of this project. ",City of Albemarle,Local Government,Planning,6/15/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,250000,250000,Albemarle
Anderson Creek CDP,85,Harnett,3701340,14899,764.1,19.5,1153,3910,8803,1045,7758,980,102,878,NA,0.46,0.2,3.39,3.59,2,Town-wide Hydrologic + Hydraulic (H+H) Analysis,"Lillington is subject to frequent flooding which makes roads impassable and reduces access to emergency services. The town began to recognize how severe the stormwater system’s limitations are after a major rainstorm in 2020. Following the rain event, the town identified several areas of inadequate and damaged stormwater infrastructure. Golden LEAF flood mitigation grant funds will be used for engineering expenses for analysis and planning regarding ten flooding hotspots. There are households, public and private entities within the immediate project area of the identified hotspots. The entire town will benefit from this project. Major highways, including NC 210, US 401, US 421, and NC 27 will also benefit since they pass through Lillington and are frequently closed during heavy rain events.",Town of Lillington,Local Government,Planning,2/23/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,6/2/22,225250,225250,Lillington
Angier town,85,Harnett,3701400,5748,1796.7,3.2,206,1364,3322,467,2855,799,128,671,NA,0.57,0.22,3.04,3.26,2,Town-wide Hydrologic + Hydraulic (H+H) Analysis,"Lillington is subject to frequent flooding which makes roads impassable and reduces access to emergency services. The town began to recognize how severe the stormwater system’s limitations are after a major rainstorm in 2020. Following the rain event, the town identified several areas of inadequate and damaged stormwater infrastructure. Golden LEAF flood mitigation grant funds will be used for engineering expenses for analysis and planning regarding ten flooding hotspots. There are households, public and private entities within the immediate project area of the identified hotspots. The entire town will benefit from this project. Major highways, including NC 210, US 401, US 421, and NC 27 will also benefit since they pass through Lillington and are frequently closed during heavy rain events.",Town of Lillington,Local Government,Planning,2/23/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,6/2/22,225250,225250,Lillington
Aquadale CDP,167,Stanly,3701560,413,126.9,3.26,0,32,316,0,316,65,0,65,NA,0.57,0.11,0.44,0.55,20,Little Long Creek 2 Watershed Plan,"The City of Albemarle has experienced flooding issues related to aging infrastructure and growth within the city. Golden LEAF flood mitigation grant funds will be used for a watershed study for the Little Long Creek 2 sub-basin. Components of this study include field investigation, stormwater inventory, H&H modeling, analysis of secondary systems, and the development of a watershed master plan. With the development of the master plan, the city plans to perform cost benefit analysis and priority rankings to aid staff in its implementation. Once completed, the city will be able to prioritize projects to undertake along this watershed. The city plans to fund these projects through an enterprise fund with the development of a stormwater management program and anticipates collecting fees for this program beginning in January 2023. In this project area there are households, businesses, and other public and private entities that will benefit from the completion of this project. ",City of Albemarle,Local Government,Planning,6/15/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,250000,250000,Albemarle
Archer Lodge town,101,Johnston,3701760,5037,555.5,9.07,522,576,3099,228,2871,840,92,748,NA,0.16,0,2.25,2.25,23,Selma Flood Mitigation modeling,"The Town of Selma experiences flooding during heavy non-named rain events in the northeast quadrant of town. The town is separated in four quadrants that are separated by railroads crossing through the center of town. Each quadrant has its own individual internal drainage creating a bowl type system. Golden LEAF flood mitigation grant funds will be used to develop a stormwater master plan for the Town of Selma in the northeastern quadrant. Components of this project include field data collection, modeling of existing watersheds, development of concept plans and alternatives, and a summary report. Within this quadrant there are households, businesses, other public and private facilities, and healthcare facilities that will benefit from this project. Additionally, the Town Hall, the Selma Fire Department, and the historic Rudy Theater are located in this area. The roads around the fire and EMS stations become impassable. Access to US highway 301 also becomes restricted during flood events. ",Town of Selma,Local Government,Planning,7/7/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,137500,137500,Selma
Arrowhead Beach CDP,41,Chowan,3701972,799,1305.5,0.61,0,217,410,11,399,172,0,172,NA,0.42,1.6,38.28,39.87,5,Edenton Old Hertford Hazard Mitigation Project 2022,"The eastern portion of Edenton is subject to stormwater flooding due to the limited capacity of downstream culverts that extend under Old Hertford Road. Golden LEAF flood mitigation grant funds will be used to replace an existing pipe under Old Hertford Road with a box culvert design and replace existing piping downstream of Old Hertford Road with two larger lines. Improving the transport of stormwater runoff from this area will also allow the town to focus on upstream improvements previously limited by this downstream bottleneck. There are households, businesses and residential care homes for adults with special needs in the immediate project area. Due to the bottleneck in this area, areas upstream feel impacts from flooding as well.",Town of Edenton,Local Government,Infrastructure,2/28/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,6/2/22,249300,249300,Edenton
Asheville city,21,Buncombe,3702140,92328,2030.5,45.47,2766,12764,56958,7285,49673,16440,1763,14677,92,0.4,1.29,7.28,8.57,17,Swannanoa River Road Flood Mitigation and Damage Reduction Feasibility Study,"The Swannanoa River floodplains between South Tunnel Road and Biltmore Avenue and Hendersonville Road in Asheville experience frequent flooding resulting in closure of Swannanoa River Road, property damage, disruption of emergency service access, and increased wastewater treatment costs due to sanitary sewer overflows. Swannanoa River Road serves as the principal east-west corridor for emergency services and access to Mission Hospital and Mission Children's Hospital. Golden LEAF flood mitigation grant funds will be used to evaluate the flood mitigation and flood damage reduction benefits of potential actions through hydrologic and hydraulic modeling, updating the Structure Inventory Database, developing a conceptual plan and feasibility analysis, and implementation cost estimates for the potential floodplain modifications. NCDOT State Transportation Improvement Program has allocated $48M for Swannanoa River Roadway corridor modernization in future years. The City will also pursue FEMA Flood Mitigation and Building Resilient Infrastructure and Communities funding for buyouts and floodplain restoration. City and County Metropolitan Sewerage District capital improvement funds can be used for utility relocations in the corridor. Businesses and households in the area will benefit from this project.",City of Asheville,Local Government,Planning,4/22/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,10/6/22,150000,150000,Asheville
Atkinson town,141,Pender,3702460,351,354.6,0.99,16,60,209,41,168,66,12,54,56,0.6,2.2,8.56,10.76,3,Surf City South Shore Flood Mitigation Project,"The 2200 block of South Shore Drive in Surf City experiences flooding on the roadway due to insufficient stormwater infrastructure. Stormwater runoff is trapped on the road by higher elevation of driveways serving houses along the road. Heavy rainfall causes flooding that obstructs passage of vehicles, including public safety vehicles. This road is the only way in and out of southern Surf City and serves the entirety of Topsail Beach. A feasibility study of the overall stormwater issues along South Shore Drive developed a specific solution to address the issue. Golden LEAF flood mitigation grant funds will be used to install a catch basin with drain pipe to convey stormwater to a new infiltration chamber system that collects and releases stormwater back into native soils. Once completed, the town’s utilities staff will maintain the system. The project will directly serve households, and public and private entities.",Town of Surf City,Local Government,Infrastructure,2/25/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,6/2/22,250000,250000,Surf City
Aurora town,13,Beaufort,3702620,772,831.7,0.93,92,70,471,134,337,134,36,98,53,0.61,10.71,41.64,52.34,12,Town of Aurora Drainage Ditch and Tributary Maintenance and Easement Plan,"The Town of Aurora experiences frequent flooding in heavy rainfall events, specifically in the northeast section of town. The ditches and tributaries no longer empty water at the speed at which they did previously. Aurora participated in the N.C. Resilient Coastal Communities Program and, through a public input process, prioritized assessing this existing infrastructure to address flooding. Golden LEAF flood mitigation grant funds will be used to create a maintenance plan and schedule for all the ditches and tributaries within the town’s jurisdiction and to determine a list of easements that will be required to implement the recommendations for maintenance. The entire town will benefit from the completion of this project.",Town of Aurora,Local Government,Planning,4/27/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,8/4/22,225000,225000,Aurora
Autryville town,163,Sampson,3702700,192,367.5,0.52,0,25,111,7,104,56,0,56,48,0.52,1.98,34.95,36.93,9,Clinton Weeks Street Hazard Mitigation Project 2022,"The City of Clinton experiences frequent flooding along Weeks Street, including three major flooding events in 2021. During flooding events along Weeks Street, emergency vehicles are unable to access residences and surrounding roads (including Highway 24) are overtopped. A 2020 preliminary drainage feasibility study found that flooding is likely caused by an undersized pipe system with minimal elevation change. Currently, the existing drainage route runs along Weeks Street into the drainage route from Smithfield Packing Company. Golden LEAF flood mitigation grant funds will be used to reroute the existing drainage system into a separate path to cross Highway 24 and into an existing farm ditch. Additional curb inlets and reinforced concrete pipe will be installed to support the design. City and other funds will be used to improve the existing farm ditch which currently collects runoff. Households in the project area and vehicles traveling on adjacent roads will benefit from this project.",Town of Clinton,Local Government,Infrastructure,2/28/22,Golden LEAF Foundation Flood Mitigation Program,NA,NA,2022,8/4/22,250000,250000,Clinton
